Original_Text,Actual_Label,Predicted_Label,Probability
"I can't think when I last rated any product with all five stars but this one gets them!<br /><br />I have always used ""foil"" shavers over the past 30 or so years and they have varied widely in the quality of shave. Only one would I have rated at the top for shave quality that approached blade shaving and that one was purchased about 24 years ago. I never gave multi-head rotary shavers much thought...until this one. This shaver beats EVERY electric shaver I haver ever owned or tried for shave quality...even ""dry"" (without using any kind of pre-shave). With a pre-shave lotion it is even better. This is a great on-the-road shaver to keep in your car for those super-quick erasures of 6-o'clock shadows.<br /><br />This thing is super quiet. It doesn't ""buzz"" but the sound it does make is a very quiet one that makes you think it is running at a slow speed...yet it races right through a 3-day growth as fast as you can ""mow"" your face. The rotor housing pops right off and you just shake the stubs out if you have been using dry or only with pre-shave. If you use it in the shower...well, rinse it off in there!<br /><br />Battery life so far has been unexpectedly good. It has a countdown charge timer built into the on-off switch that starts at 60 (supposed minutes) but after a good estimated half hour of shaving mine only ticked down to about 43 before I plugged it in to my laptop to charge. It only comes with a USB charging corder (it's proprietary at one end so don't lose it!) that can plug into any power-providing standard USB port. Many hotels now have USB charging ports on their bathroom outlets and you even find them on things like inexpensive power strips. Of course, you can purchase a standalone USB charger...but I see no need in my case give this thing seems to just ""sip"" power and would likely last a multi-week business trip without the need to charge.<br /><br />Its flip out trimmer is rather smallish but gets the job done and trims very closely. Works as well as any I have tried/owned.<br /><br />I don't see a real downside to this shaver. I don't know (haven't checked) where you might find additional rotary blades if you need them but the shaver is so inexpensive you could buy five or six whole shavers for the price of other ""mid range"" rotaries I have tried that don't give as good a shave.<br /><br />Unless you are a real brand-loyalist or your current shaver gives what you consider a ""perfect"" this is THE ONE TO GET.",0,1,0.8748966
"[[VIDEOID:b7a26be60316cb3ca697412c040cd1b1]] We have 3 cats: different ages (17, 8, 5), hair lengths (short, medium, long), hair types (silky soft fine, coarse, in-between), temperaments (laid back, shy/skittish, impatient/trouble-maker).<br /><br />My interest in this brush was specifically for our oldest cat. He had spent much of his life outdoors, but we recently shifted him to being an indoor cat due to age, health and inclement weather.<br /><br />He was a mess and we had to cut out much of the mats and debris.<br /><br />Since I spend much of my time in the basement he stays there with me and I created a bed for him next to my sewing area and desk. He likes to sleep there and when I need a break, I like to brush him. He has adapted very nicely to being an indoor cat as long as I brush him at least 6-8x's/day. I kid you not.<br /><br />However, I noticed as we finally got him cleaned up, that certain areas were bothering him when brushed. Careful inspection revealed external skin growths (like moles) and if our old slicker brush happened to hit them, he would let us know it hurt.<br /><br />I purchased 2 brushes to try on him. One was a silicone brush and this one. While he liked the feel of the silicone brush (as did the other cats), it wasn't effective at actually grooming.<br /><br />On the other hand, this brush does a remarkably decent job. It's not as efficient as our old style slicker -- and I think that's due to the fact that it has considerably fewer bristles and they are spaced further apart.<br /><br />It is necessary, though, to wait for the brush to have a considerable amount of hair in it before cleaning by pushing the button. If you try to remove it before it's relatively full, it doesn't do a very good job of removing the hair from the bristles.<br /><br />When I also tried it on the other cats, my husband's shy/skittish female cat, who has always avoided me like the plague, couldn't get enough of the brush and was actually purring. Of course, as soon as I stood up (I had been on the floor with her), she ran back to him as if to escape from an ogre!<br /><br />Mr trouble-maker tolerated the brush but was too impatient to stick around for long. Point is, he didn't object to it, he just wasn't in the mood and would rather run around and play. (8-year old Siamese).<br /><br />My only request was that the next version of this brush have more bristles, closer together. Meanwhile, I will keep my old slicker for cleaning furniture. It does a remarkably good job.<br /><br />Forgot to mention: my arthritic hands absolutely adore the soft squishy silicone-like handle.",0,1,0.86698455
"Ok guys I’m back - update. Washed my hair and almost all the sandwiches came out. Glue does not hold. If you want something quick for a week or 2, these are great but for someone like me that is used to re-doing my hair every 6 to 8 weeks, this does not work. This is a pic after i already three some sandwiches out:( sandwiches are two pieces<br /><br />I’m giving them a 4 out of 5 bc I’m on week 3 and i see the curls drying out a bit even tho I’m religious w braiding them up and wearing my bonnet in the house. Now that I’m wearing them out and it’s humid, they’re getting a little dry but the color was true to pics and they were super soft. It is human hair. Not much shedding at all. The tape has been holding up as well. I bought them in emergency bc of prime and needed them in 2 days. Will purchase again when i want super curly look",0,1,0.8635125
"I received the wrong colors at first but had a great customer service rep, Alina, who was very prompt on fixing this issue. I will update my review once the colors I ordered come in. For now, this product does exactly what it says. I tested out on a couple of false nails and was very pleased with how well it worked and the effects. I can't wait for my colors to come in! Highly recommend especially if you are a beginning to dipping! Super simple, not very messy and not very smelly!<br /><br />Ps... The kit came with everything (just wrong colors) lol I took out my files and rose oil before snapping the pic. On the nails, the one with a + had been buffed prior to application. The unmarked one was not filed or buffed. Results aren't justified as much in pic but gives general idea.<br /><br />**UPDATE**<br /><br />So I got the same colors as before but upon further investigation, I found the title, color number and pictures are incorrect. The color for this page would be 011, not 013 and you won't receive the bold colors shown but rather pastel like colors for their wedding party set. My pics show the colors you will receive. I won't complain as I should've read into this more. I still keep my 5 stars cause the product works very well, lasts long and the colors come out great. I just wish I could've gotten the bold colors displayed. Oh well, still a great buy!",0,1,0.8611806
"When I first used this shaver there were a few things I had to learn.  It's quiet -- so quiet, I thought it wasn't working properly.  Second, you don't have to press hard to get it to work -- just keep passing it over any area of your skin requiring extra attention and it will do the job.  Third, the lotion/gel samples make the shave live up to its name of Cool Skin -- no razor burn whatsoever.<br /><br />I have two issues with the shaver.  First, Norelco still has one of the most inconvenient methods of cleaning I've ever seen.  Every few days you need to disassemble the blades from the discs holding them and using a brush (I use an old toothbrush) to get the old hair out of there.  Rinsing it under water doesn't do anything but remove the stray hair stubble in the head itself.<br /><br />Second, the refills are difficult to find.  They are relatively expensive in most sources (including here at Amazon) but are available at the world's largest retailer in a box of 5 for $4.94.  I find they last about 10 days if you don't go crazy pressing the button for lotion.  I also find the lotion much better than the gel.  When I shave at home, I just use regular shave gel with it to preserve the expensive cartridge-based lubricants.",0,1,0.86096364
"After trying out a Philips (Norelco) 7120 to see if I could escape the wet razor trap I was ready for the next step; that model worked fine, except that by design the battery doesn't last that long and I could seldom get an acceptable shave around the neck. The 1050x solves both problems, I can shave in less time (must be the blades it uses) and it charges very quickly (one hour, with a quick charge for emergencies).<br /><br />It comes with a travel ""sarcophagus"" (which I find a nice detail) which can also be used to charge the razor, and a charging stand; the hair deposit chambers for each blade do fill quickly, particularly with anything older than a day old stubble for me, and a sign comes up asking you to empty them - which is done quickly and easily enough.<br /><br />The only negatives are that it's quite a bit noisier than the 7120, but then again that is quite quiet... I still cannot get the best shave over the area between my mouth and my chin... But then again we all different facial features... And it's pricey... I'm still kicking myself for not buying this when it came out as a special deal... But I needed it too much to wait for another one to show up.",0,1,0.8588058
"I placed a small piece I cut, onto a lumpy area behind my left ear. I have been using it for about a week and I haven't noticed much of a change in it's size. It didn't bother me as far as the stickiness goes, but it did snag a bit when a few hairs became attached (scalp hair, not body hair). Once I pulled it off it (wetting it first) it did not irritate me at all. Although my skin is light, pigmented but light, there was noticeable redness but it went away fairly quick. The smell is bearable but AWFUL! It smells completely medicated, but I guess herbal is what it says it is! Never had an herbals with such a pungent aroma The smell was all over my fingers YUCK and even having the bag it comes in opened in close proximity was irritating. I'll keep using it, while I'll keep searching for something else unless this proves otherwise. Oh I will say with it behind my ear, my nose became runny and I could swear I tasted it in my mouth, but that could be either the smell or the actual effects of usage. Not really sure being ENT is all connected. Not urged to recommend but a try wouldn't hurt as long you are absolutely sure there are no unlying conditions doctor only treatable. Everyone wants to diagnose themselves' in the millenium. Go to the doctor first or just ask. My doctor has never even heard of this but she did theorize possible warnings and side effects and whether or not why and when to discontinue use. This product came with nothing else and little description. So I have no idea what it truly entails nor any actual ingredients.",0,1,0.8583962
"So I don’t own a blow dryer or a hair straightener. I know. I bought this to hopefully replace the need for both of them. Pictured: my hair styled when damp, my hair styled and natural side-by-side, and my hair styled when dry (tie-dye shirt).<br /><br />Some pros: I have very wavy, long, fine hair, but a ton of it, and can dry/style my hair in under 30 minutes with this. Yes the brush size is huge, but with how much hair I have, I need it to be large. The style it produced was beautiful! I will be keeping this for sure!<br /><br />Some cons: I deducted a star mainly because this brush doesn’t get very hot. I guess this could be a pro since it won’t damage your hair as much over time. But for me, I noticed that some parts of my hair were still wavy, and that the style didn’t hold perfectly over time.<br /><br />Some tips: definitely use this tool on damp hair. It semi-straightened my dry hair, but the style did not hold over time and my hair went right back to wavy in an hour. I had to go over my damp hair a few times, but make sure to maintain tension when you pull. That’s the best way I was able to get my hair straight. Another reason I deducted a star was because I still feel like I need a flat iron to do touch ups—around my roots specifically. But this product is definitely better than using a flat iron all over!<br /><br />Verdict: worth $20! Glad I purchased.",0,1,0.8581633
"First off and to the bottom line, for quality and price point totally WORTH THE BUY!!<br /><br />For reference, I ordered the 22 inch Color #2 Darkest Brown. I am 5'11"" and ordered a length similar to my own hair.<br /><br />Now for the background: I am mid 40s and I have always had SUPER thick, curly hair until an autoimmune thing kicked in at which point I lost 3/4s of that volume over a year. So I've been playing around with hair extensions. If we can dye out grays, do our nails, etc. to feel better about ourselves, why not hair extensions??  This particular piece is AMAZING! Honestly, it could be thicker, but then I feel it would be too heavy. It's perfect for me.<br /><br />The color matches perfectly. The length is accurate. The sheen is beautiful. Some other reviewers complained about it tangling, and although it does, it doesn't tangle more than my own hair and brushes out back to original form with ease. ...Some other reviewers said it doesn't stay in place and I personally disagree. I straighten my hair, put it up in a ponytail at the height I want, clip in the extension, wrap the extra piece and secure with 3-4 bobby pins around the base. That may sound like a lot of work, but really it isn't (especially since I only wash my hair every third day or so, and in between days, I just shower without wetting my hair).  It took me a couple tries to perfect it, but since, I have it down and wear it for 12-14 hours continuously without an issue.  No headache, no slipping. My hair blends with the extension and you can't tell which strands are ""real"". ...Admittedly, I haven't played around with curling it or anything so I can't commit or advise on that.<br /><br />All in all, I feel this is a cheap, quick and easy way to feel beautiful. And everyone deserves to feel beautiful!  Hope this review helped :)",0,1,0.8575226
"This is the third hyaluronic acid serum I have tried. I used a pretty popular brand for six months and was about to give up and stop wasting my money. I received Elleda Hyaluronic acid serum today, and used it for the first time this evening. It is incredible. It has done more for my face in one night than the other brand that I used for 6 months. My face is soft, smooth, and bright. I can't wait to see what 2 weeks brings. Aging is particularly rough on women and we can get sucked in by so many false promises of looking younger. I shiver when I think of all the money I 've spent. This product is a little pricey, but it is already worth it. I'm satisfied.",0,1,0.85731345
